#Source,Year,Month,Day,Mean
1,2003,01,06,0.73
0,2002,12,06,0.4366
1,2002,12,06,0.43
0,2002,11,06,0.5918
1,2002,11,06,0.59
0,2002,10,06,0.4773
1,2002,10,06,0.57
0,2002,09,06,0.5661
1,2002,09,06,0.65
0,2002,08,06,0.5359
1,2002,08,06,0.55
0,2002,07,06,0.6229
1,2002,07,06,0.62
0,2002,06,06,0.5890
1,2002,06,06,0.54
0,2002,05,06,0.5656
1,2002,05,06,0.65
0,2002,04,06,0.5725
1,2002,04,06,0.58
0,2002,03,06,0.7887
1,2002,03,06,0.91
0,2002,02,06,0.7846
1,2002,02,06,0.76
0,2002,01,06,0.6962
1,2002,01,06,0.75
0,2001,12,06,0.5128
1,2001,12,06,0.55
0,2001,11,06,0.6880
1,2001,11,06,0.7
0,2001,10,06,0.5006
1,2001,10,06,0.52
0,2001,09,06,0.5050
1,2001,09,06,0.56
0,2001,08,06,0.6032
1,2001,08,06,0.49
0,2001,07,06,0.5586
1,2001,07,06,0.61
0,2001,06,06,0.5373
1,2001,06,06,0.55
0,2001,05,06,0.5997
1,2001,05,06,0.59
0,2001,04,06,0.5666
1,2001,04,06,0.52
0,2001,03,06,0.6293
1,2001,03,06,0.58
0,2001,02,06,0.3946
1,2001,02,06,0.46
0,2001,01,06,0.4720
1,2001,01,06,0.44
0,2000,12,06,0.3192
1,2000,12,06,0.3
0,2000,11,06,0.2557
1,2000,11,06,0.34
0,2000,10,06,0.3027
1,2000,10,06,0.3
0,2000,09,06,0.4384
1,2000,09,06,0.42
0,2000,08,06,0.4557
1,2000,08,06,0.43
0,2000,07,06,0.3919
1,2000,07,06,0.42
0,2000,06,06,0.4076
1,2000,06,06,0.44
0,2000,05,06,0.4657
1,2000,05,06,0.4
0,2000,04,06,0.6311
1,2000,04,06,0.59
0,2000,03,06,0.5561
1,2000,03,06,0.6
0,2000,02,06,0.5439
1,2000,02,06,0.58
0,2000,01,06,0.3467
1,2000,01,06,0.26
0,1999,12,06,0.5779
1,1999,12,06,0.46
0,1999,11,06,0.3688
1,1999,11,06,0.42
0,1999,10,06,0.3773
1,1999,10,06,0.43
0,1999,09,06,0.3976
1,1999,09,06,0.43
0,1999,08,06,0.3695
1,1999,08,06,0.34
0,1999,07,06,0.4029
1,1999,07,06,0.41
0,1999,06,06,0.4203
1,1999,06,06,0.37
0,1999,05,06,0.4086
1,1999,05,06,0.33
0,1999,04,06,0.4590
1,1999,04,06,0.34
0,1999,03,06,0.3702
1,1999,03,06,0.34
0,1999,02,06,0.6733
1,1999,02,06,0.66
0,1999,01,06,0.5007
1,1999,01,06,0.48
0,1998,12,06,0.5796
1,1998,12,06,0.56
0,1998,11,06,0.4132
1,1998,11,06,0.5
0,1998,10,06,0.4965
1,1998,10,06,0.47
0,1998,09,06,0.5271
1,1998,09,06,0.45
0,1998,08,06,0.6816
1,1998,08,06,0.68
0,1998,07,06,0.7358
1,1998,07,06,0.71
0,1998,06,06,0.6657
1,1998,06,06,0.78
0,1998,05,06,0.6679
1,1998,05,06,0.71
0,1998,04,06,0.7358
1,1998,04,06,0.64
0,1998,03,06,0.6396
1,1998,03,06,0.63
0,1998,02,06,0.8660
1,1998,02,06,0.9
0,1998,01,06,0.6042
1,1998,01,06,0.61
0,1997,12,06,0.6302
1,1997,12,06,0.6
0,1997,11,06,0.5865
1,1997,11,06,0.66
0,1997,10,06,0.6487
1,1997,10,06,0.64
0,1997,09,06,0.6250
1,1997,09,06,0.56
0,1997,08,06,0.5491
1,1997,08,06,0.43
0,1997,07,06,0.5101
1,1997,07,06,0.35
0,1997,06,06,0.5308
1,1997,06,06,0.55
0,1997,05,06,0.4235
1,1997,05,06,0.39
0,1997,04,06,0.4551
1,1997,04,06,0.38
0,1997,03,06,0.4617
1,1997,03,06,0.52
0,1997,02,06,0.4288
1,1997,02,06,0.37
0,1997,01,06,0.3746
1,1997,01,06,0.33
0,1996,12,06,0.3893
1,1996,12,06,0.41
0,1996,11,06,0.2816
1,1996,11,06,0.42
0,1996,10,06,0.2276
1,1996,10,06,0.2
0,1996,09,06,0.2696
1,1996,09,06,0.27
0,1996,08,06,0.3206
1,1996,08,06,0.49
0,1996,07,06,0.3238
1,1996,07,06,0.37
0,1996,06,06,0.3547
1,1996,06,06,0.27
0,1996,05,06,0.3908
1,1996,05,06,0.3
0,1996,04,06,0.2725
1,1996,04,06,0.38
0,1996,03,06,0.3242
1,1996,03,06,0.34
0,1996,02,06,0.4562
1,1996,02,06,0.5
0,1996,01,06,0.2625
1,1996,01,06,0.27
0,1995,12,06,0.3477
1,1995,12,06,0.3
0,1995,11,06,0.4550
1,1995,11,06,0.45
0,1995,10,06,0.4376
1,1995,10,06,0.49
0,1995,09,06,0.3865
1,1995,09,06,0.34
0,1995,08,06,0.5056
1,1995,08,06,0.48
0,1995,07,06,0.4295
1,1995,07,06,0.49
0,1995,06,06,0.4657
1,1995,06,06,0.45
0,1995,05,06,0.3537
1,1995,05,06,0.29
0,1995,04,06,0.4097
1,1995,04,06,0.47
0,1995,03,06,0.4637
1,1995,03,06,0.45
0,1995,02,06,0.6895
1,1995,02,06,0.77
0,1995,01,06,0.5487
1,1995,01,06,0.5
0,1994,12,06,0.4009
1,1994,12,06,0.36
0,1994,11,06,0.4530
1,1994,11,06,0.46
0,1994,10,06,0.4273
1,1994,10,06,0.42
0,1994,09,06,0.3300
1,1994,09,06,0.32
0,1994,08,06,0.3119
1,1994,08,06,0.23
0,1994,07,06,0.3155
1,1994,07,06,0.32
0,1994,06,06,0.3870
1,1994,06,06,0.42
0,1994,05,06,0.3819
1,1994,05,06,0.29
0,1994,04,06,0.3568
1,1994,04,06,0.41
0,1994,03,06,0.3568
1,1994,03,06,0.26
0,1994,02,06,0.0791
1,1994,02,06,0.04
0,1994,01,06,0.2902
1,1994,01,06,0.3
0,1993,12,06,0.3188
1,1993,12,06,0.19
0,1993,11,06,0.0920
1,1993,11,06,0.07
0,1993,10,06,0.2442
1,1993,10,06,0.24
0,1993,09,06,0.1692
1,1993,09,06,0.11
0,1993,08,06,0.2118
1,1993,08,06,0.13
0,1993,07,06,0.2336
1,1993,07,06,0.28
0,1993,06,06,0.2930
1,1993,06,06,0.24
0,1993,05,06,0.3438
1,1993,05,06,0.26
0,1993,04,06,0.3155
1,1993,04,06,0.28
0,1993,03,06,0.4208
1,1993,03,06,0.36
0,1993,02,06,0.3967
1,1993,02,06,0.39
0,1993,01,06,0.3840
1,1993,01,06,0.37
0,1992,12,06,0.2833
1,1992,12,06,0.22
0,1992,11,06,0.0943
1,1992,11,06,0.04
0,1992,10,06,0.1154
1,1992,10,06,0.11
0,1992,09,06,0.0588
1,1992,09,06,0.01
0,1992,08,06,0.1405
1,1992,08,06,0.1
0,1992,07,06,0.1359
1,1992,07,06,0.13
0,1992,06,06,0.2821
1,1992,06,06,0.24
0,1992,05,06,0.3276
1,1992,05,06,0.32
0,1992,04,06,0.2936
1,1992,04,06,0.24
0,1992,03,06,0.4333
1,1992,03,06,0.47
0,1992,02,06,0.4485
1,1992,02,06,0.42
0,1992,01,06,0.4721
1,1992,01,06,0.45
0,1991,12,06,0.3064
1,1991,12,06,0.33
0,1991,11,06,0.3175
1,1991,11,06,0.31
0,1991,10,06,0.3292
1,1991,10,06,0.32
0,1991,09,06,0.3863
1,1991,09,06,0.5
0,1991,08,06,0.3880
1,1991,08,06,0.42
0,1991,07,06,0.4462
1,1991,07,06,0.51
0,1991,06,06,0.4813
1,1991,06,06,0.54
0,1991,05,06,0.4107
1,1991,05,06,0.39
0,1991,04,06,0.5168
1,1991,04,06,0.53
0,1991,03,06,0.3658
1,1991,03,06,0.36
0,1991,02,06,0.4661
1,1991,02,06,0.51
0,1991,01,06,0.4512
1,1991,01,06,0.42
0,1990,12,06,0.4481
1,1990,12,06,0.42
0,1990,11,06,0.4797
1,1990,11,06,0.46
0,1990,10,06,0.4277
1,1990,10,06,0.43
0,1990,09,06,0.3144
1,1990,09,06,0.3
0,1990,08,06,0.3479
1,1990,08,06,0.3
0,1990,07,06,0.3453
1,1990,07,06,0.44
0,1990,06,06,0.4114
1,1990,06,06,0.38
0,1990,05,06,0.4274
1,1990,05,06,0.46
0,1990,04,06,0.4907
1,1990,04,06,0.55
0,1990,03,06,0.7328
1,1990,03,06,0.76
0,1990,02,06,0.4072
1,1990,02,06,0.41
0,1990,01,06,0.3613
1,1990,01,06,0.41
0,1989,12,06,0.4013
1,1989,12,06,0.37
0,1989,11,06,0.2541
1,1989,11,06,0.21
0,1989,10,06,0.3044
1,1989,10,06,0.32
0,1989,09,06,0.3019
1,1989,09,06,0.37
0,1989,08,06,0.3021
1,1989,08,06,0.36
0,1989,07,06,0.3016
1,1989,07,06,0.34
0,1989,06,06,0.2727
1,1989,06,06,0.15
0,1989,05,06,0.2779
1,1989,05,06,0.17
0,1989,04,06,0.2891
1,1989,04,06,0.33
0,1989,03,06,0.3360
1,1989,03,06,0.36
0,1989,02,06,0.3072
1,1989,02,06,0.35
0,1989,01,06,0.2157
1,1989,01,06,0.16
0,1988,12,06,0.3626
1,1988,12,06,0.34
0,1988,11,06,0.2291
1,1988,11,06,0.13
0,1988,10,06,0.3009
1,1988,10,06,0.4
0,1988,09,06,0.3211
1,1988,09,06,0.42
0,1988,08,06,0.3199
1,1988,08,06,0.46
0,1988,07,06,0.3431
1,1988,07,06,0.35
0,1988,06,06,0.3865
1,1988,06,06,0.42
0,1988,05,06,0.3811
1,1988,05,06,0.44
0,1988,04,06,0.4426
1,1988,04,06,0.45
0,1988,03,06,0.4828
1,1988,03,06,0.49
0,1988,02,06,0.3901
1,1988,02,06,0.42
0,1988,01,06,0.5487
1,1988,01,06,0.57
0,1987,12,06,0.5316
1,1987,12,06,0.47
0,1987,11,06,0.3306
1,1987,11,06,0.25
0,1987,10,06,0.3347
1,1987,10,06,0.32
0,1987,09,06,0.4321
1,1987,09,06,0.39
0,1987,08,06,0.3832
1,1987,08,06,0.28
0,1987,07,06,0.4182
1,1987,07,06,0.46
0,1987,06,06,0.3013
1,1987,06,06,0.36
0,1987,05,06,0.3339
1,1987,05,06,0.26
0,1987,04,06,0.3009
1,1987,04,06,0.24
0,1987,03,06,0.2541
1,1987,03,06,0.17
0,1987,02,06,0.5028
1,1987,02,06,0.46
0,1987,01,06,0.3115
1,1987,01,06,0.36
0,1986,12,06,0.2179
1,1986,12,06,0.16
0,1986,11,06,0.1548
1,1986,11,06,0.11
0,1986,10,06,0.2066
1,1986,10,06,0.14
0,1986,09,06,0.1716
1,1986,09,06,0.02
0,1986,08,06,0.1698
1,1986,08,06,0.12
0,1986,07,06,0.1686
1,1986,07,06,0.13
0,1986,06,06,0.2534
1,1986,06,06,0.12
0,1986,05,06,0.2507
1,1986,05,06,0.26
0,1986,04,06,0.2613
1,1986,04,06,0.26
0,1986,03,06,0.2966
1,1986,03,06,0.29
0,1986,02,06,0.2788
1,1986,02,06,0.39
0,1986,01,06,0.3249
1,1986,01,06,0.3
0,1985,12,06,0.1978
1,1985,12,06,0.15
0,1985,11,06,0.1181
1,1985,11,06,0.09
0,1985,10,06,0.1303
1,1985,10,06,0.11
0,1985,09,06,0.1010
1,1985,09,06,0.14
0,1985,08,06,0.1287
1,1985,08,06,0.15
0,1985,07,06,0.0779
1,1985,07,06,0.0
0,1985,06,06,0.1290
1,1985,06,06,0.17
0,1985,05,06,0.1959
1,1985,05,06,0.17
0,1985,04,06,0.1488
1,1985,04,06,0.11
0,1985,03,06,0.1875
1,1985,03,06,0.17
0,1985,02,06,0.0176
1,1985,02,06,0.06
0,1985,01,06,0.1783
1,1985,01,06,0.21
